Product Title,Price,Price Per Weight,Savings,Image URL
SuperValu Bananas Snack Pack (7 Piece),€1.79,€0.26 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1197004000_1
SuperValu Large Loose Oranges (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1018820000_1
SuperValu Loose Pink Lady Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1179723000_1
Signature Tastes Raspberries (125 g),€2.79,€22.32/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016345000_1
Signature Tastes Ripe Avocado (1 Piece),€1.35,,2 for €2.50,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1007563000_1
Signature Tastes Blueberry (150 g),€2.79,€18.60/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1683185002_1
SuperValu Organic Fairtrade Bananas  (5 Piece),€1.89,€0.38 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1085596000_1
SuperValu Seedless Red Grapes  (500 g),€2.69,€5.38/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1018071000_1
SuperValu Loose Bananas (1 kg),€0.25 avg/ea,€1.45/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1013680000_1
SuperValu Loose Lemons (1 Piece),€0.55,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1024720000_1
SuperValu Easy Peelers (750 g),€1.39,€1.85/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1033492001_1
SuperValu Loose Pears (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1021584000_1
Signature Tastes ClemenGold Mandarins (500 g),€1.95,€3.90/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1700369000_1
SuperValu Kids Apple Bag (9 Piece),€1.59,€0.16 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1320511000_1
SuperValu Lemons  (3 Piece),€0.49,€0.16 each,Only 49c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1317040000_1
SuperValu Mixed Seedless Grapes  (500 g),€2.99,€5.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020232000_1
SuperValu Pears (6 Piece),€2.49,€0.42 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1209478000_1
SuperValu Oranges (7 Piece),€1.99,€0.28 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1180310000_1
Freddy's Fyffes Bananas Bag (7 Piece),€1.99,€0.28 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019259000_1
SuperValu Seedless White Grapes  (500 g),€2.69,€5.38/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020275000_1
SuperValu Loose Granny Smith Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027514000_1
Keelings Blueberries Family Pack (200 g),€4.50,€22.50/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1399214000_1
Signature Tastes Blackberries (125 g),€2.79,€22.32/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027098001_1
SuperValu Limes (3 Piece),€0.89,€0.30 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1000198001_1
SuperValu Loose Red Grapefruit (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1003202000_1
SuperValu Loose Limes (1 Piece),€0.55,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1015786000_1
SuperValu Lemon & Lime Pack (3 Piece),€1.29,€0.43 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1101104000_1
SuperValu Yellow Melon   (1 Piece),€0.99,,Only 99c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1001584000_1
SuperValu Fruit Salad (200 g),€2.19,€10.95/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1031270000_1
SuperValu Kiwi Fruit (6 Piece),€1.29,€0.22 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1040719000_1
SuperValu Strawberries (250 g),€2.99,€11.96/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019078001_1
Signature Tastes ClemenGold Mandarins (750 g),€2.99,€3.99/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1700431000_1
SuperValu Royal Gala Apples  (6 Piece),€1.99,€0.33 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1004140000_1
SuperValu Strawberry Punnet (227 g),€2.79,€12.29/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019078000_1
SuperValu Loose Golden Delicious Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1025977000_1
SuperValu Granny Smith Apples (6 Piece),€1.89,€0.32 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1026369002_1
Keelings Strawberries Family Pack (400 g),€5.00,€12.50/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1386984000_1
SuperValu Avocados (3 Piece),€1.69,€0.56 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1420883000_1
Signature Tastes Ripe Hass Avocados (2 Piece),€2.49,€1.25 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1331324001_1
Signature Tastes Blueberries (290 g),€5.00,€17.24/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1683185001_1
SuperValu Plums (500 g),€1.49,€2.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016080000_1
Keelings Raspberries Family Pack (200 g),€4.50,€22.50/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1519799000_1
SuperValu Irish Bramley Cooking Apples (4 Piece),€1.00,€0.25 each,Only €1,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1028455001_1
SuperValu Kids Pink Lady Apples (5 Piece),€2.00,€0.40 each,Only €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1485673002_1
Signature Tastes Black Grapes (400 g),€2.99,€7.48/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1628438001_1
SuperValu Loose Mango (1 Piece),€0.89,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1019647000_1
SuperValu Cantaloupe Melon (1 Piece),€0.99,,Only 99c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016550000_1
SuperValu Organic Unwaxed Lemons (4 Piece),€2.49,€0.62 each,2 for €3,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1024862000_1
SuperValu Pink Lady Apples (7 Piece),€2.99,€0.43 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1018578000_1
Signature Tastes Seedless LemonGold Lemons (3 Piece),€1.45,€0.48 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1624377000_1
Signature Tastes Limited Edition Seasonal Comice Pears (4 Piece),€2.89,€0.72 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1284111000_1
SuperValu Pomergranate Seeds (100 g),€2.50,€25.00/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1571101000_1
SuperValu Organic Blueberries  (125 g),€2.99,€23.92/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1032407000_1
Signature Tastes Jazz Limited Edition Seasonal Apples (4 Piece),€2.89,€0.72 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1151720001_1
Signature Tastes Seedless Lemon Gold (1 Piece),€0.55,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1802417000_1
Signature Tastes Green Grape (400 g),€2.99,€7.48/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1626884000_1
SuperValu Organic Avocados (2 Piece),€2.79,€1.40 each,2 for €5,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1015316000_1
SuperValu Organic Red Apples  (4 Piece),€2.99,€0.75 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027519000_1
SuperValu Ripe Kiwi Fruit  (4 Piece),€1.99,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1623430000_1
Signature Tastes Honeycrunch Apple Tray (6 Piece),€2.89,€0.48 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1347408000_1
SuperValu Loose Premium Irish Eating Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027290000_1
SuperValu Golden Delicious Apples (6 Piece),€1.99,€0.33 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020337001_1
SuperValu Pineapple Chunks (200 g),€2.00,€10.00/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1031286000_1
SuperValu Passion Fruit (3 Piece),€1.29,€0.43 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1011066000_1
SuperValu Loose Pomegranate (1 Piece),€0.99,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1089163000_1
Keelings Mixed Berries Twin Pack (200 g),€4.50,€22.50/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1269511000_1
SuperValu Mixed Melon Pot (200 g),€2.19,€10.95/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1366419000_1
SuperValu Organic Oranges 4 Pce (4 Piece),€3.19,€0.80 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1015330000_1
SuperValu Organic Clementines (500 g),€2.49,€4.98/kg,2 for €3,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020107000_1
SuperValu Organic Apple Bag (7 Piece),€3.49,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027525000_1
Keelings Fruit Platter (360 g),€5.50,€15.28/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1269537000_1
SuperValu Loose Royal Gala Apples (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1025967000_1
SuperValu Punnet Pear (5 Piece),€1.49,€0.30 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1814883000_1
SuperValu Watermelon Triangles (390 g),€2.50,€6.41/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1614690000_1
SuperValu Cranberries (250 g),€2.99,€11.96/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1029656001_1
Signature Tastes Red Grapes (400 g),€2.99,€7.48/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1628438002_1
SuperValu Pineapple Kiwi & Grape Salad (200 g),€2.19,€10.95/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1031284000_1
SuperValu Organic Kiwis (4 Piece),€2.29,€0.57 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1015367000_1
SuperValu Fruit Salad Mix (300 g),€3.00,€10.00/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1076098000_1
SuperValu Irish Apples (6 Piece),€2.09,€0.35 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1010111000_1
SuperValu Green Apples (8 Piece),€1.49,€0.19 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1394911000_1
SuperValu Cherries (180 g),€2.99,€16.61/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1450324000_1
SuperValu Organic Pears (4 Piece),€3.19,€0.80 each,2 for €5,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1015348000_1
SuperValu Ready to Eat Mangoes (2 Piece),€2.49,€1.25 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1271868000_1
SuperValu Loose Cooking Apples (1 kg),€2.39/kg,€2.39/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1036677000_1
SuperValu Mini Watermelon (1 Piece),€3.25,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1626638000_1
Keelings Blackberries Family Pack (200 g),€4.50,€22.50/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1545431000_1
SuperValu Mango Chunks Fruit Pot (230 g),€3.19,€13.87/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1612770000_1
SuperValu Sliced Pineapple  (330 g),€3.00,€9.09/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1614678000_1
SuperValu Loose Plums (1 Piece),€0.40,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1362663000_1
SuperValu Mango Melon & Pineapple Fingers (240 g),€2.69,€11.21/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1614700000_1
Fyffes Gold XL Pineapple (1 Piece),€0.99,,Only 99c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1695323000_1
Signature Tastes Leaf Clementines (800 g),€2.99,€3.74/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1358243000_1
Signature Tastes ClemenGold Mandarins (1 kg),€3.99,€3.99/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1464926000_1
SuperValu Easy Peelers (750 g),€2.59,€3.45/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1012318000_1
SuperValu Organic Limes (3 Piece),€1.99,€0.66 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1664146000_1
Signature Tastes Raspberry (250 g),€5.00,€20.00/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1794802000_1
SuperValu Black Grapes (500 g),€2.49,€4.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1378290000_1
SuperValu Organic Green Apples (4 Piece),€2.99,€0.75 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1710648000_1
SuperValu Sharon Fruit (3 Piece),€1.79,€0.60 each,2 for €3,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1289729001_1
SuperValu Royal Gala Apples Bag (7 Piece),€2.49,€0.36 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1026436000_1
SuperValu Chestnuts (350 g),€2.49,€7.11/kg,2 for €3,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1001545001_1
SuperValu Nectarines (4 Piece),€1.99,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1049576000_1
SuperValu Ripe Plums (4 Piece),€1.99,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1624560000_1
SuperValu Tropical Fruit Salad  (350 g),€4.25,€12.14/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1031265000_1
SuperValu Citrus Pack (6 Piece),€2.29,€0.38 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1620922000_1
SuperValu Exotic Salad (350 g),€4.25,€12.14/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1031267000_1
SuperValu Melon & Strawberry Fruit Pot (230 g),€3.19,€13.87/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1560672000_1
SuperValu Organic Pink Lady Apples (4 Piece),€3.15,€0.79 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1443469000_1
Supervalu Xl Orange Tray (4 Piece),€2.29,€0.57 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1827523000_1
SuperValu Large Mixed Grape Punnet (700 g),€3.99,€5.70/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1434795000_1
SuperValu Loose Honey Pomelo (1 Piece),€2.39,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1038505000_1
Supervalu Melon & Mixed Berry Pot (230 g),€3.19,€13.87/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1560672002_1
SuperValu Organic Plums (500 g),€3.19,€6.38/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1054657000_1
Medjool Dates (200 g),€3.25,€16.25/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1803787000_1
SuperValu Organic Grapefruit (2 Piece),€3.15,€1.58 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1710732000_1
SuperValu Fresh Figs  (4 Piece),€2.49,€0.62 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1011065000_1
SuperValu Galia Melon (1 Piece),€0.99,,Only 99c,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016561000_1
SuperValu Golden Berries (125 g),€1.99,€15.92/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1794730000_1
SuperValu Shaved Coconut (1 Piece),€2.49,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1443561000_1
Keelings Bramley Apple (4 Piece),€1.99,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1825921000_1
Keelings Irish Eating Apple Tray (4 Piece),€2.79,€0.70 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1803925000_1
Signature Tastes Navelgold Orange (5 Piece),€2.69,€0.54 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1782192000_1
Signature Tastes Nectarine (4 Piece),€2.79,€0.70 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1331668000_1
SuperValu Easy Peeler Loose (1 Piece),€0.40,,7 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1802422000_1
SuperValu Irish Eating Apples (7 Piece),€2.19,€0.31 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1025084000_1
SuperValu Loose Coconut  (1 Piece),€0.79,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020364000_1
SuperValu Loose Large Bramley Cooking Apples (1 kg),€2.39/kg,€2.39/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1260591000_1
SuperValu Loose White Grapefruit (1 Piece),€0.60,,4 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1027105000_1
SuperValu Lychee  (250 g),€2.49,€9.96/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1020408000_1
SuperValu Net Orange (5 Piece),€1.49,€0.30 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1856080000_1
SuperValu Organic Giga Apples (4 Piece),€3.15,€0.79 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1869077000_1
SuperValu Organic Gold Kiwi (3 Piece),€2.75,€0.92 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1892157000_1
SuperValu Organic Red Grapes (500 g),€3.49,€6.98/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1588037000_1
SuperValu Physalis  (100 g),€1.49,€14.90/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1009959000_1
SuperValu Pink Lady Apples (6 Piece),€2.99,€0.50 each,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1008857001_1
SuperValu Pink Lady Tray (8 Piece),€4.00,€0.50 each,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1898694000_1
SuperValu Rhubarb Bunch (1 Piece),€1.25,,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1016552000_1
SuperValu Signature Tastes Clemengold Loose (1 Piece),€0.40,,7 for €2,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1021128002_1
SuperValu Strawberries (400 g),€4.49,€11.23/kg,3 for €10,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1892085000_1
SuperValu Sunshine Fruit Salad Pot (300 g),€3.00,€10.00/kg,None,https://storage.googleapis.com/images-mus-prd-7e2fdbe.mus.prd.v8.commerce.mi9cloud.com/product-images/detail/1888783000_1
